node,b_base,b_sl,is_sl_served,borough,rank_base,rank_sl,rank_gain
490012092N,0.0,0.033264077346896265,True,Croydon,12486.5,178.0,12308.5
490003950S,7.87959971633441e-05,0.23855384578218639,True,Bromley,11111.5,32.0,11079.5
490003950N,7.87959971633441e-05,0.033250894856794444,True,Bromley,11111.5,179.0,10932.5
490000246O,9.717753960171616e-06,0.004962955412024845,True,Hillingdon,12070.0,1217.0,10853.0
490000106A,0.00010445143520896069,0.15926694673167527,True,Barnet,10698.0,76.0,10622.0
490016308N,3.568255143269386e-05,0.003975334436861931,False,Bexley,11745.0,1555.0,10190.0
490012842S,0.00012577263986694455,0.007638329952740891,False,Croydon,10452.0,703.0,9749.0
490009983G,0.00011497854593827572,0.0064056423876529735,False,Enfield,10570.0,913.0,9657.0
490009980S,0.00013565473769555397,0.007567282228631941,False,Croydon,10336.0,708.0,9628.0
490015413S,0.00018803939677296543,0.23543984437897694,True,Bromley,9631.0,38.0,9593.0
490000106B,0.00020178704805561744,0.2359853719957488,True,Barnet,9515.0,36.0,9479.0
490010245N,7.689103178952236e-05,0.0032020318649021045,False,Hillingdon,11236.0,1963.0,9273.0
490004295Z,0.0001555137797220966,0.0066505050407671094,False,Barnet,10112.0,858.0,9254.0
490010157W,0.0001451571023784453,0.005964317022396484,False,Richmond upon Thames,10234.0,993.0,9241.0
490016488S,0.0001575919943266882,0.006804860513932261,False,Bromley,10015.5,819.0,9196.5
490009983B,6.736277787491671e-05,0.0027848767179522744,False,Enfield,11355.0,2248.0,9107.0
490005962S,0.00017469911736485061,0.007710078085713514,False,Croydon,9766.0,699.0,9067.0
490013175W,0.00015843273802171665,0.0060397252085918375,False,Richmond upon Thames,9936.0,976.0,8960.0
490011321HA,0.00015792634851276107,0.005953675901757783,False,Bexley,9945.0,999.0,8946.0
490010685W,0.00015996905499409073,0.005892222854092408,False,Richmond upon Thames,9921.0,1018.0,8903.0
490016307N,0.00012427612309091893,0.003914894286114225,False,Bexley,10471.0,1579.0,8892.0
490010601N,7.97895402308596e-05,0.0029435181650582344,False,Redbridge,10989.0,2139.0,8850.0
490004216S,9.768707439934555e-05,0.0032468845935329713,False,Bexley,10758.0,1938.0,8820.0
490016650S,0.000186269516620662,0.00654787955966835,False,Croydon,9644.0,880.0,8764.0
490004130S,0.0002603240182907926,0.03352088622828525,True,Greenwich,8927.0,176.0,8751.0
490003976E,0.0002850541817132034,0.11666583989082495,True,Bexley,8763.0,99.0,8664.0
490014430X,0.0002767926721745465,0.02813888760802136,True,Ealing,8824.0,202.0,8622.0
490009367S,0.00022501765747930913,0.007782570403103791,False,Croydon,9317.0,695.0,8622.0
490019117E,7.253223184953018e-05,0.0022321270145510825,False,Barnet,11297.0,2716.0,8581.0
490007868T,0.00012131402891852213,0.0032083001345443187,False,Harrow,10507.0,1960.0,8547.0
490015177H,0.000301681737971493,0.10932000728436204,True,Bexley,8648.0,104.0,8544.0
490010323H,4.5297006808012206e-05,0.0018608221410006706,False,Sutton,11624.0,3162.0,8462.0
490010340N,0.0001246550493581108,0.0031128019922972397,False,Hillingdon,10469.0,2015.0,8454.0
490004162W,1.7411745791067442e-05,0.0016193556006481179,False,Greenwich,11961.0,3528.0,8433.0
490007787N,0.00012304410897166022,0.0030379895705460436,False,Hillingdon,10488.0,2060.0,8428.0
490014094N,9.198465222453768e-05,0.0025553585241085337,False,Barnet,10834.0,2415.0,8419.0
490011497E,0.000109843042108117,0.0028204427456171273,False,Barking and Dagenham,10626.0,2225.0,8401.0
490009069W,0.00029674594243055076,0.01549314685064546,True,Hillingdon,8689.0,330.0,8359.0
490012556N,9.081794082382593e-05,0.002402203630347782,False,Barnet,10850.0,2544.0,8306.0
490014731H,4.293924441675262e-05,0.0016685738094440238,False,Merton,11659.0,3430.0,8229.0
490005599S1,4.4122258893881826e-05,0.0016703686561476904,False,Sutton,11641.0,3429.0,8212.0
490009523S,0.0002449290541253767,0.00673151764641482,False,Kingston upon Thames,9038.0,840.0,8198.0
490014164N,0.0001573833640159519,0.0032858692964858756,True,Waltham Forest,10085.0,1915.0,8170.0
490012311S,0.00012640352900742774,0.0027393757976989777,False,Kingston upon Thames,10446.0,2278.0,8168.0
4900801619,0.0003721302974418518,0.3271331461333828,True,Hillingdon,8143.0,11.0,8132.0
490014891S,0.00027800893836174654,0.007856171701194884,False,Croydon,8813.0,688.0,8125.0
490013491N,5.5822237392096224e-05,0.0016923133874057002,False,Bexley,11490.0,3398.0,8092.0
490011692N,0.00014470432136287295,0.0028629659804948145,False,Sutton,10238.0,2199.0,8039.0
490010656W2,0.00010736028034375945,0.002307148536834603,False,Barnet,10657.0,2639.0,8018.0
490004164W,6.921524997552401e-05,0.0016939716791514656,False,Greenwich,11336.0,3395.0,7941.0
490013384S,0.00038351127227010155,0.04878723448658209,True,Hillingdon,8066.0,140.0,7926.0
490008956S,0.00039467752177843737,0.23304291736591984,True,Bromley,7952.0,40.0,7912.0
490007760J,0.00038248308724100595,0.029027542203848605,True,Ealing,8075.0,194.0,7881.0
490003975L,0.0003214897931392185,0.007873810451131105,False,Bexley,8460.0,685.0,7775.0
490006353E1,0.00013659192765120803,0.0023846750429325375,False,Barnet,10323.0,2564.0,7759.0
490006734E,0.00031550760978744767,0.007242212238394714,False,Barking and Dagenham,8502.0,754.0,7748.0
490010030N,0.00020732451197084928,0.003614515816288344,False,Hillingdon,9469.0,1726.0,7743.0
490007030E1,0.0004199012377569515,0.14428157765458322,True,Barnet,7829.0,91.0,7738.0
490000246N,0.0002455004993052612,0.004695104277418958,False,Hillingdon,9034.0,1300.0,7734.0
490011691A,0.00016519561396300913,0.002934446310078384,False,Sutton,9868.0,2148.0,7720.0
490010323G,0.0004336722181785019,0.11148968764946157,True,Sutton,7765.0,101.0,7664.0
490011146S,0.0003376132462653742,0.007930881979986797,False,Croydon,8341.0,682.0,7659.0
490001001D,0.0004310806846179133,0.04119353513816076,True,Bexley,7777.0,160.0,7617.0
490010601S,8.363292717034213e-05,0.0017328327962999994,False,Redbridge,10938.0,3334.0,7604.0
490019472E,0.0001747296843053827,0.00288811245614398,False,Barking and Dagenham,9763.0,2183.0,7580.0
490003803W,0.00017416883536436993,0.002810843579087053,False,Bexley,9774.0,2231.0,7543.0
490014934W1,0.00010887035384393143,0.0019049462407477263,False,Greenwich,10639.0,3097.0,7542.0
490008419E,0.00034339748282339255,0.007206327047379331,False,Barking and Dagenham,8299.0,761.0,7538.0
490013301N,0.0002335635579071605,0.0036683621021178082,False,Hillingdon,9233.0,1696.0,7537.0
490009206W,1.309233962295187e-05,0.0011881775951260894,False,Bexley,12027.0,4500.0,7527.0
490007137P,0.00045892669507731614,0.06472778408136629,True,Redbridge,7659.0,132.0,7527.0
490009768N,0.00023041410430242422,0.003542345770357364,False,Hillingdon,9268.0,1755.0,7513.0
490005742E,0.0001336860632978376,0.002115962384294898,False,Greenwich,10352.0,2840.0,7512.0
490007137Q,0.00048594707938268193,0.14901759646956278,True,Redbridge,7532.0,85.0,7447.0
490013594K,0.00047134429945047923,0.03358514092172428,True,Ealing,7611.0,175.0,7436.0
490006316S,0.00018165682524283109,0.0027504023693079617,False,Barnet,9698.0,2271.0,7427.0
490012965N,3.1881103309674755e-05,0.001242971313880423,False,Waltham Forest,11781.0,4374.0,7407.0
490019119N,0.00016824073576925125,0.002484055442601371,False,Barnet,9845.0,2470.0,7375.0
490010270E,0.00010428666129517901,0.0017292941114634072,False,Sutton,10701.0,3337.0,7364.0
490007464N,0.0003638075775961204,0.0066290540528438175,False,Barnet,8188.0,862.0,7326.0
490003767S,0.0003180895328306484,0.005173943275232903,False,Sutton,8488.0,1165.0,7323.0
490010685E,0.00021747174079535592,0.003015565718657638,False,Richmond upon Thames,9387.0,2079.0,7308.0
490006761S,0.0003393008776876624,0.005800095491890267,False,Merton,8332.0,1038.0,7294.0
490010991S,0.00023246760349474345,0.003185798205187107,False,Bexley,9244.0,1973.0,7271.0
490005002N,0.0002303289310129748,0.00311808549712885,False,Redbridge,9269.0,2011.0,7258.0
490008498W,0.0005110817650868769,0.02988605852662753,True,Ealing,7431.0,190.0,7241.0
490012097S,0.0004064079885295041,0.008006847157992788,False,Croydon,7899.0,673.0,7226.0
490008138N,6.0238027477554854e-05,0.0013180288787339061,False,Waltham Forest,11438.0,4214.0,7224.0
490013149Z2,4.554692261203438e-05,0.0012231923472187523,False,Barnet,11622.0,4417.0,7205.0
490005862AL,0.0001831141270456405,0.0024744052998093256,False,Bromley,9679.0,2479.0,7200.0
490006877L,0.0004355129668792073,0.00921720260683141,True,Bexley,7758.0,584.0,7174.0
490013763S,0.0003667797657107683,0.005876775670611256,False,Merton,8175.0,1024.0,7151.0
490014748N,0.00012852029988607712,0.0017688301373918309,False,Bexley,10421.0,3284.0,7137.0
490006997N,5.6439521863285366e-05,0.0012548073958610713,False,Croydon,11484.0,4352.0,7132.0
490003436BE,0.00019932859223969752,0.002548765374169399,False,Bromley,9541.0,2421.0,7120.0
490009875N,0.0003467188083015177,0.005100740821078068,False,Sutton,8284.0,1179.0,7105.0
490008814E,0.00023327471578200436,0.002944576778864035,False,Richmond upon Thames,9238.0,2138.0,7100.0
490013653E,0.00039414543119340183,0.006619318071541027,False,Redbridge,7956.0,864.0,7092.0
490004768E,0.0003947635003245906,0.006550589722200432,False,Redbridge,7951.0,879.0,7072.0
490010157E,0.0002380681389427745,0.003089857732454025,False,Richmond upon Thames,9100.0,2028.0,7072.0
490010331W,0.00039400646174348115,0.006500244485258746,False,Barnet,7958.0,889.0,7069.0
490003975S,8.029197818948392e-05,0.0014334822855076744,False,Bexley,10983.0,3919.0,7064.0
490003906N,7.709451783404396e-05,0.0013299758587846356,False,Croydon,11231.0,4184.0,7047.0
490015478N,0.000598106786813241,0.299344302845267,True,Ealing,7067.0,21.0,7046.0
490005605N,0.00027956256343389515,0.0035394830243145694,False,Bexley,8802.0,1758.0,7044.0
490013296S,0.000458542620149865,0.00849097659791782,False,Bromley,7662.0,635.0,7027.0
490007459W,0.0001399221501284883,0.0017708414022796922,False,Greenwich,10285.0,3282.0,7003.0
490005530E,9.438298879932716e-05,0.0014913267901877742,False,Hillingdon,10803.0,3803.0,7000.0
490004907S,0.00023554209815527732,0.002821032169529599,False,Barnet,9208.0,2224.0,6984.0
490011968S,0.0005340869926636845,0.014734738868613317,False,Enfield,7339.0,368.0,6971.0
490019471E,0.00024378562070825796,0.0029573580866141015,False,Barking and Dagenham,9053.0,2129.0,6924.0
490013296N,0.000544799472855364,0.013870622844003946,False,Bromley,7294.0,389.0,6905.0
490000081D,0.0006364417325600673,0.23842748102091063,True,Barnet,6931.0,33.0,6898.0
490015200C,0.00017532642450755507,0.0020967549029007734,False,Redbridge,9756.0,2864.0,6892.0
490014112W,5.866230479535794e-05,0.0011424734671308572,False,Waltham Forest,11456.0,4602.0,6854.0
490005056C,0.0006592364959711898,0.32131121353180286,True,Sutton,6860.0,18.0,6842.0
490013805W,0.0006131274263196236,0.03331683074533116,True,Ealing,7016.0,177.0,6839.0
490009069E,0.0005792184195283497,0.01530501262314782,True,Hillingdon,7152.0,338.0,6814.0
490010668S,0.0005066884336018009,0.0084180085861743,False,Bromley,7447.0,640.0,6807.0
490007270W,0.00044923459881125163,0.006428637059423919,False,Barnet,7705.0,908.0,6797.0
490013102S,5.2958968169880126e-05,0.001068125066251844,False,Waltham Forest,11542.0,4753.0,6789.0
490013799W,0.0002053934099609518,0.0022343424946408034,False,Barnet,9484.0,2715.0,6769.0
490011968N,0.00038817024419448686,0.004765480951342865,False,Enfield,8036.0,1280.0,6756.0
490001150N1,7.670496660829636e-05,0.0011710412691612621,False,Waltham Forest,11242.0,4537.0,6705.0
490010668N,0.0005952443046413037,0.013797369665794501,False,Bromley,7083.0,392.0,6691.0
490005056D,0.0006928423144417277,0.10978560477593184,True,Sutton,6754.0,103.0,6651.0
490010839C3,0.000381682456213832,0.004239455140130657,True,Croydon,8080.0,1437.0,6643.0
490011691P,0.0002338227050472197,0.0023603593085183383,False,Sutton,9230.0,2588.0,6642.0
490013175E,0.00030569407391564825,0.0031677672746492813,False,Richmond upon Thames,8623.0,1985.0,6638.0
490009203E,0.0006889154082001681,0.05313212179503749,True,Bexley,6768.0,139.0,6629.0
490012360S,0.00025101936672800983,0.002599200019768097,False,Kingston upon Thames,8992.0,2382.0,6610.0
490010763W,7.483601648312747e-05,0.001110430497967353,False,Barking and Dagenham,11270.0,4664.0,6606.0
490010868S,0.0005503158499554232,0.007794326586631807,True,Croydon,7268.0,694.0,6574.0
490011692S,0.00023427058644748207,0.0022887108170447736,False,Sutton,9225.0,2654.0,6571.0
490004527BJ,0.0002105960604502877,0.0020822712022722095,False,Hillingdon,9443.0,2880.0,6563.0
490004975N2,0.0005690267175144289,0.008346179155744288,False,Bromley,7189.0,643.0,6546.0
490010718W,0.00046768093993294034,0.005585616280530056,False,Redbridge,7629.0,1083.0,6546.0
490013491S,3.32488736637687e-05,0.0008325510249401706,False,Bexley,11766.0,5221.0,6545.0
490011113W,8.842078229833331e-05,0.001266798490073515,False,Bexley,10868.0,4324.0,6544.0
490003973B,0.0003774831552172286,0.003909523234762535,False,Bexley,8117.0,1583.0,6534.0
490010801Z,0.000430507041633325,0.004839715535781531,False,Enfield,7780.0,1256.0,6524.0
490010839C4,0.00032776489671332553,0.0033315542481021816,False,Croydon,8411.0,1890.0,6521.0
490014075E,0.0003734128778746076,0.0038254822018515444,False,Greenwich,8135.0,1620.0,6515.0
490005855C15,0.0001301853545980771,0.0014461753010336516,False,Croydon,10400.0,3892.0,6508.0
490003777N,0.0005866554433821521,0.008728284598245576,False,Sutton,7123.0,623.0,6500.0
490008034N,0.00031488684827207065,0.0030285906408398524,False,Barking and Dagenham,8570.0,2072.0,6498.0
490005574S,0.0004053205934673665,0.00426891996446703,False,Croydon,7906.0,1422.0,6484.0
490004413N,0.0003951606618320847,0.004188831089266161,False,Bromley,7950.0,1467.0,6483.0
490009182W,0.0004978732498786099,0.005946575042097959,False,Barking and Dagenham,7484.0,1003.0,6481.0
490012915N,0.00017966888536544964,0.00180473742232945,False,Sutton,9714.0,3236.0,6478.0
490015026N,0.0005746099501024203,0.00774386026752194,True,Croydon,7166.0,698.0,6468.0
490004975N1,0.0006583767511556746,0.013724924250783489,False,Bromley,6864.0,397.0,6467.0
490013172C,0.00029873262721177065,0.0028399986857964095,False,Richmond upon Thames,8677.0,2216.0,6461.0
490008674W,0.0006702406478592216,0.014784774403685141,False,Bromley,6821.0,366.0,6455.0
490012790S,0.0003041446021319308,0.002895163132873388,False,Barnet,8630.0,2178.0,6452.0
490007969Y,6.469922650680668e-05,0.0009610905771798653,False,Bexley,11389.0,4952.0,6437.0
490011903W,0.0005276977074138344,0.006303537385986424,False,Barking and Dagenham,7361.0,938.0,6423.0
490003644E,0.0007450016973254835,0.028092297389935836,True,Bromley,6610.0,204.0,6406.0
490007897E,0.00013317722147111033,0.0014146757951694327,False,Hillingdon,10358.0,3973.0,6385.0
490016652S,0.0006010714507596151,0.007866222959548584,True,Croydon,7060.0,686.0,6374.0
490015443S,0.0008076292412051562,0.149455092193313,True,Barnet,6454.0,84.0,6370.0
490007063K,8.558729447059714e-05,0.0011712759769145736,False,Brent,10904.0,4535.0,6369.0
490008155S,9.711769287288903e-05,0.0012223653408126446,False,Kingston upon Thames,10769.5,4420.5,6349.0
4900OC454,9.711769287288903e-05,0.0012223653408126446,False,Kingston upon Thames,10769.5,4420.5,6349.0
490014113N,0.00013170371118813656,0.0013946798737522477,False,Waltham Forest,10379.0,4032.0,6347.0
490003670W,0.00028017493980871886,0.0024942448804824604,False,Barnet,8794.0,2463.0,6331.0
490003476E2,0.00014903795669842434,0.0014555107769221188,False,Barnet,10199.0,3870.0,6329.0
490013236S,7.311578292313948e-05,0.0009549331365206026,False,Bromley,11287.0,4960.0,6327.0
490010977E,0.00019026254507514685,0.001749801934344952,False,Bromley,9612.0,3302.0,6310.0
490008913N,0.0004323575227365314,0.004148769705256448,False,Bromley,7771.0,1485.0,6286.0
490006353E2,0.00042500709395069215,0.004056784688553364,False,Barnet,7800.0,1523.0,6277.0
490015638S,0.00024121222833598245,0.0021477678810300203,False,Kingston upon Thames,9072.0,2799.0,6273.0
490007651W,0.0005346721293731094,0.005652651245524203,False,Redbridge,7335.0,1068.0,6267.0
490014748E,7.162277282483989e-05,0.0009096003774997293,False,Bexley,11310.0,5052.0,6258.0
490005546K,0.00021136593877344316,0.0018489807661333415,False,Greenwich,9434.0,3178.0,6256.0
490015200E,0.0003049163516930928,0.0026135719709147074,False,Redbridge,8626.0,2376.0,6250.0
490005855C14,0.00032658904860745195,0.0028967420260604627,False,Croydon,8421.0,2177.0,6244.0
490003396E,0.0002733051641125385,0.002346754307666842,False,Enfield,8844.0,2601.0,6243.0
490005856W3,0.0003775548233430682,0.003339875286603819,False,Croydon,8116.0,1884.0,6232.0
490007282N,0.00044924674273556667,0.004181007744469677,False,Bromley,7704.0,1472.0,6232.0
490006027W9,0.0005187951694685838,0.00511194319088519,False,Croydon,7397.0,1174.0,6223.0
490011116W8,0.000567593974054677,0.006057715491164964,False,Croydon,7194.0,971.0,6223.0
490003938N,0.00010165943870621502,0.0011829133443751827,False,Croydon,10732.0,4512.0,6220.0
490009247W,0.0005651270926426567,0.0060144563344690476,False,Barking and Dagenham,7202.0,983.0,6219.0
490008523N,0.00011829405957649351,0.001268124169398966,False,Barking and Dagenham,10534.0,4321.0,6213.0
490010343S,0.0006572763436992021,0.007938918236325492,True,Croydon,6870.0,681.0,6189.0
490014935S,0.00010384704266059729,0.0011705419163936096,False,Greenwich,10709.0,4540.0,6169.0
490013653W,0.000594551733451534,0.006371827250194655,False,Barking and Dagenham,7087.0,920.0,6167.0
490010245E,0.00017266097524057804,0.0015698017666219343,False,Hillingdon,9793.0,3629.0,6164.0
490014760N,0.00015354852285947757,0.0014069318234957017,False,Croydon,10142.0,3989.0,6153.0
490001324W1,0.00020106593926618412,0.0017082850285880706,False,Croydon,9527.5,3375.5,6152.0
490001324W2,0.00020106593926618412,0.0017082850285880706,False,Croydon,9527.5,3375.5,6152.0
490004163S,0.0001271402217753188,0.001278566098245399,False,Greenwich,10435.0,4284.0,6151.0
490003936S,0.00033076970330265284,0.0027932899738611237,False,Merton,8383.0,2243.0,6140.0
490004423TA,0.0007673073423734586,0.012671575088178648,False,Bromley,6556.0,428.0,6128.0
490003535W,0.0005913508748118557,0.0060201219611183965,False,Barking and Dagenham,7107.0,981.0,6126.0
490001344H,6.413510894281844e-05,0.0008101746472568863,False,Greenwich,11396.0,5276.0,6120.0
490004308S,8.159214330254176e-05,0.0010218346064562003,False,Ealing,10963.0,4843.0,6120.0
490010369H,0.000919035961618049,0.20491853854715944,True,Barnet,6163.0,51.0,6112.0
490018878E,0.00035733044594067154,0.002960868211865315,False,Merton,8223.0,2123.0,6100.0
